Training Steps,Evaluation Reward
735004,378.73854741247175
740104,387.929301501976
745057,367.1359371269743
750056,406.8332151820263
755012,399.340355345048
760004,334.31952171441594
765043,367.68980025055106
770080,311.7552975606587
775044,293.9777098016607
780025,333.749439908295
785105,320.4659787694821
790072,345.3532361984253
795066,280.6860158364805
800009,350.7321759913532
805028,301.57719349799066
810050,308.2863367328213
815068,385.80797888338566
820005,344.805774420707
825077,379.2557160390748
830028,454.7469119008424
835032,380.20636883460816
840032,469.2452091982382
845038,370.1133086780707
850087,461.41605677290096
855052,324.5046355627065
860011,348.1091035923198
865051,426.39331115720165
870056,347.15298259423844
875030,475.3446734489666
880073,342.8592116178739
885074,392.5084255325298
890011,301.62926918102636
895076,416.587395241691
900020,342.61540560968587
905056,294.1293804109511
910060,267.9669366756247
915054,375.9812029076017
920003,320.6006389007801
925013,441.79389091829466
930016,298.784485179931
935085,286.9820612979433
940062,380.9505013011706
945065,367.19567505849744
950010,346.33026512960606
955081,435.8256670584281
960098,316.58146652910455
965083,358.6274428375893
970027,298.3424420271897
975066,258.56795042934306
980099,440.5363317785993
985078,308.0089048751526
990100,391.56373805676895
995063,431.170675099517
1000039,418.9739864143647
1005045,507.74003316958743
1010083,410.1128058606346
1015110,303.73675763400075
1020020,341.00975454267535
1025034,433.46112584902176
1030030,388.81501773165337
1035018,285.904148005777
1040000,527.1429119057333
1045098,426.12261753529316
1050102,387.184986178246
1055003,348.3870957717996
1060056,417.8019396712385
1065059,615.1679870486256
1070051,450.72810748178125
1075079,347.25266061516277
1080004,374.94310067345697
1085062,410.2609792858777
1090036,328.06546090274225
1095014,347.4842101087174
1100050,331.40436633179587
1105085,466.6209924221039
1110016,497.6197564301806
1115054,422.41339842478436
1120090,475.12842771907646
1125023,456.67592848133717
1130093,415.7234491407873
1135052,388.4918558287124
1140099,418.78936921349833
1145024,339.49130325267714
1150049,452.3479903841185
1155045,348.2374703397768
1160062,342.53056217812826
1165055,394.1402263546156
1170092,364.07835969649676
1175034,435.3185245374011
1180061,370.1982429571865
1185086,367.17442620545626
1190017,401.20255377143627
1195030,365.746931405738
1200094,356.6169363009329
1205089,402.5471857500574
1210001,434.6024252815794
1215004,333.612908212882
1220118,474.5636009714671
1225112,416.9177222474375
1230063,364.5223489134676
1235070,525.5457371369833
1240083,506.2242109494078
1245008,541.0341666597459
1250034,559.4382512859173
1255086,487.07693320285125
1260091,494.84652174843677
1265054,436.3234923552309
1270015,399.3906847202905
1275029,371.95519389170744
1280045,470.13434713447674
1285126,534.3204635381699
1290014,502.44429916557345
1295069,410.1683690479129
1300068,453.16506353517366
